"source","target","type","properties"
"76","404","collaborated_with","{""id"":667,""type"":""collaborated_with"",""start"":76,""end"":404,""properties"":{}}"
"76","405","has_part","{""id"":666,""type"":""has_part"",""start"":76,""end"":405,""properties"":{}}"
"78","256","developer","{""id"":280,""type"":""developer"",""start"":78,""end"":256,""properties"":{}}"
"78","416","employer","{""id"":215,""type"":""employer"",""start"":78,""end"":416,""properties"":{}}"
"81","435","subsidiary","{""id"":101,""type"":""subsidiary"",""start"":81,""end"":435,""properties"":{}}"
"81","78","founded_by","{""id"":671,""type"":""founded_by"",""start"":81,""end"":78,""properties"":{}}"
"81","435","subsidiary","{""id"":673,""type"":""subsidiary"",""start"":81,""end"":435,""properties"":{""notes"":""""}}"
"82","217","instance_of","{""id"":674,""type"":""instance_of"",""start"":82,""end"":217,""properties"":{}}"
"85","86","point_in_time","{""id"":675,""type"":""point_in_time"",""start"":85,""end"":86,""properties"":{""notes"":""""}}"
"94","194","instance_of","{""id"":681,""type"":""instance_of"",""start"":94,""end"":194,""properties"":{}}"
"97","308","employer","{""id"":217,""type"":""employer"",""start"":97,""end"":308,""properties"":{}}"
"97","100","field_of_work","{""id"":684,""type"":""field_of_work"",""start"":97,""end"":100,""properties"":{}}"
"97","411","collaborated_with","{""id"":683,""type"":""collaborated_with"",""start"":97,""end"":411,""properties"":{}}"
"97","305","member_of","{""id"":687,""type"":""member_of"",""start"":97,""end"":305,""properties"":{}}"
"97","264","developer","{""id"":685,""type"":""developer"",""start"":97,""end"":264,""properties"":{}}"
"98","211","founded_by","{""id"":688,""type"":""founded_by"",""start"":98,""end"":211,""properties"":{}}"
"99","36","studies","{""id"":113,""type"":""studies"",""start"":99,""end"":36,""properties"":{}}"
"99","419","studies","{""id"":48,""type"":""studies"",""start"":99,""end"":419,""properties"":{}}"
"99","159","studies","{""id"":691,""type"":""studies"",""start"":99,""end"":159,""properties"":{}}"
"99","250","point_in_time","{""id"":690,""type"":""point_in_time"",""start"":99,""end"":250,""properties"":{}}"
